Date,ID,replicate,Precursor.Ion.Name,MassFeature_Column,QC_area,ID_rep,PresAbs,LogArea,CultureID_short,Org_Name,Org_Type,Org_Type_Specific,BioVol_perFilter_uL,Species,biovolArea,LogBioArea
161114,7803,B,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,7803_B,0,0,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.20472,Synechococcus sp.,NA,0
161114,7803,F,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,7803_F,0,0,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.18928,Synechococcus sp.,NA,0
161114,8102,A,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,8102_A,0,0,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.708,Synechococcus sp.,NA,0
161114,8102,F,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,8102_F,0,0,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.75484,Synechococcus sp.,NA,0
161114,8501,B,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,8501_B,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.711258,Crocosphaera watsonii,NA,0
161114,8501,C,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,8501_C,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,5.351031818,Crocosphaera watsonii,NA,0
161114,8501,D,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,8501_D,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.515528571,Crocosphaera watsonii,NA,0
161114,MED4,D,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,MED4_D,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.390883343,Prochlorococcus marinus,NA,0
161114,MED4,E,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,MED4_E,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.346499459,Prochlorococcus marinus,NA,0
161114,MED4,F,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,MED4_F,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.395070736,Prochlorococcus marinus,NA,0
170821,1314P,A,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,1314P_A,0,0,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.3185,Prochlorococcus marinus,NA,0
170821,1314P,B,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,1314P_B,0,0,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.34858,Prochlorococcus marinus,NA,0
170821,1314P,C,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,1314P_C,0,0,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.31701,Prochlorococcus marinus,NA,0
170821,As9601,A,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,As9601_A,0,0,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.452556309,Prochlorococcus marinus,NA,0
170821,As9601,B,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,As9601_B,0,0,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.487486222,Prochlorococcus marinus,NA,0
170821,As9601,C,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,NA,As9601_C,0,0,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.467084563,Prochlorococcus marinus,NA,0
170821,Nat,A,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,1188282,Nat_A,1,6.0749195185159595,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.062888292,Prochlorococcus marinus,18895122.79964608,7.276349718747628
170821,Nat,B,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,910758,Nat_B,1,5.959402994726576,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.054405,Prochlorococcus marinus,16740336.366142817,7.223764180090461
170821,Nat,C,I126.904R4.8_HILICNeg,I126.904R4.8_HILICNeg_X_HILICNeg,1026388,Nat_C,1,6.011311565849094,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.054925488,Prochlorococcus marinus,18686916.35475319,7.271537641635414
161114,7803,B,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,4406580736,7803_B,1,9.644101731539287,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.20472,Synechococcus sp.,1998703116.949091,9.300748289742856
161114,7803,F,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,5957427712,7803_F,1,9.775058781279514,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.18928,Synechococcus sp.,2721181261.419279,9.434757471662987
161114,8102,A,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,4839947264,8102_A,1,9.684840629603386,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.708,Synechococcus sp.,6836083706.214689,9.834807371913616
161114,8102,F,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,4466173952,8102_F,1,9.649935634302476,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.75484,Synechococcus sp.,5916716061.681946,9.77208072834351
161114,8501,B,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,964962048,8501_B,1,8.98451023285851,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.711258,Crocosphaera watsonii,260009422.1420338,8.414989086086779
161114,8501,C,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,1155337472,8501_C,1,9.062708859397022,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,5.351031818,Crocosphaera watsonii,215909288.39436775,8.334271326038026
161114,8501,D,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,771913344,8501_D,1,8.88756854860649,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.515528571,Crocosphaera watsonii,219572484.87968555,8.341577916772545
161114,MED4,D,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,3788958464,MED4_D,1,9.578519844400232,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.390883343,Prochlorococcus marinus,9693322910.41115,9.98647268048453
161114,MED4,E,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,3944718080,MED4_E,1,9.59601597061886,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.346499459,Prochlorococcus marinus,11384485538.258806,10.056313409747508
161114,MED4,F,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,4478050304,MED4_F,1,9.651088967900204,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.395070736,Prochlorococcus marinus,11334806392.746843,10.054414106440499
170821,1314P,A,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,525763776,1314P_A,1,8.720790660839864,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.3185,Prochlorococcus marinus,1650749689.167975,9.217681224168494
170821,1314P,B,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,534351328,1314P_B,1,8.727826893060898,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.34858,Prochlorococcus marinus,1532937426.1288657,9.18552442749522
170821,1314P,C,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,526783360,1314P_C,1,8.721632048039337,1314P,Prochlorococcus marinus MIT1314,Cyanobacteria,Prochlorococcus,0.31701,Prochlorococcus marinus,1661724740.5444622,9.220559085896287
170821,As9601,A,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,742566656,As9601_A,1,8.8707354438932,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.452556309,Prochlorococcus marinus,1640827099.8162131,9.21506282020493
170821,As9601,B,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,753130944,As9601_B,1,8.87687049188811,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.487486222,Prochlorococcus marinus,1544927651.3090866,9.188908146302643
170821,As9601,C,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,736017536,As9601_C,1,8.866888161752321,As9601,Prochlorococcus marinus AS9601,Cyanobacteria,Prochlorococcus,0.467084563,Prochlorococcus marinus,1575769345.2181163,9.197492647525342
170821,Nat,A,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,639798592,Nat_A,1,8.806043280000505,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.062888292,Prochlorococcus marinus,10173572403.588255,10.007473480232175
170821,Nat,B,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,672823104,Nat_B,1,8.827900896237285,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.054405,Prochlorococcus marinus,12366935097.877033,10.09226208160117
170821,Nat,C,I146.045R12.11_HILICNeg,I146.045R12.11_HILICNeg_X_HILICNeg,701440512,Nat_C,1,8.845990845135393,Nat,Prochlorococcus marinus NATL2A,Cyanobacteria,Prochlorococcus,0.054925488,Prochlorococcus marinus,12770765222.877947,10.106216920921714
