MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,47343,170410,Poo,April11AqExtracts,Full1,170410,25508.319636268356,170410_Poo_April11AqExtracts_Full1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,53970,170410,Poo,April11AqExtracts,Full2,170410,41658.819652729246,170410_Poo_April11AqExtracts_Full2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,31794,170410,Poo,April11AqExtracts,Full3,170410,37023.36101139246,170410_Poo_April11AqExtracts_Full3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,28154,170410,Poo,April11AqExtracts,Half1,170410,26567.206008714413,170410_Poo_April11AqExtracts_Half1 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,30645,170410,Poo,April11AqExtracts,Half2,170410,56899.330237267415,170410_Poo_April11AqExtracts_Half2 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,20297,170410,Poo,April11AqExtracts,Half3,170410,51853.74095086509,170410_Poo_April11AqExtracts_Half3 Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,84888,170413,Smp,KM1513-15m,A,170413,94785.19661730446,170413_Smp_KM1513-15m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,109272,170413,Smp,KM1513-15m,B,170413,117474.6169533967,170413_Smp_KM1513-15m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,98459,170413,Smp,KM1513-15m,C,170413,133874.00931021917,170413_Smp_KM1513-15m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,34646,170413,Smp,KM1513-45m,A,170413,25748.15552719819,170413_Smp_KM1513-45m_A Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,38279,170413,Smp,KM1513-45m,B,170413,36468.05308055517,170413_Smp_KM1513-45m_B Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,9422,170413,Smp,KM1513-45m,C,170413,7557.73036011549,170413_Smp_KM1513-45m_C Adenosyl Homocysteine
Adenosyl Homocysteine,"Pyridoxal, D3",0.3428358540972951,0.22164843969051762,28359,170413,Smp,KM1513-75m,A,170413,20357.826744354337,170413_Smp_KM1513-75m_A Adenosyl Homocysteine
