MassFeature_Column,RFratio
Adenosyl Homocysteine_X_HILIC,0.22972910574262925
Adenosyl Methionine_X_HILIC,1.438947269687784
Alanine_X_HILIC,0.8688057934763139
Amino Propanesulfonic Acid_X_HILIC,0.6010740175188574
Argininosuccinic Acid_X_HILIC,1.3516341614613694
Asparagine_X_HILIC,0.9990757218351132
Aspartic acid_X_HILIC,1.2929241890782233
beta-Alanine_X_HILIC,1.1270688983299975
Butyryl-L-carnitine_X_HILIC,1.5082349781442177
Carnitine_X_HILIC,0.7608195407436648
Citrulline_X_HILIC,1.2471592672952512
Creatine_X_HILIC,0.7800996366242788
Cystathionine_X_HILIC,0.8190500659807183
Cysteic Acid_X_HILIC,0.9371000704741884
Cytidine_X_HILIC,0.9180506523503159
Cytosine_X_HILIC,0.8857232118465994
Dexpanthenol_X_HILIC,1.0774324931344748
DHPS_X_HILIC,0.5001728775653392
DMSP_HILIC_X_HILIC,0.9720376531759942
Gluconic Acid_X_HILIC,0.4674213806802864
Glucosylglycerol_X_HILIC,0.9294031816870821
Glutamine_X_HILIC,1.1586880615637827
Glycerophosphocholine_X_HILIC,1.2934504549233357
Gonyol_X_HILIC,0.6537581724104224
Histidine_X_HILIC,1.0766213163326503
Homoserine_X_HILIC,1.0448878321594053
I104.1074R10.68_HILIC_X_HILIC,0.6455962593666975
I116.0709R8.8_HILIC_X_HILIC,0.8431099521653858
I118.0864R7.19_HILIC_X_HILIC,0.7626031158699228
I121.032R8.27_HILIC_X_HILIC,1.1993849953294498
I124.0064R10.88_HILIC_X_HILIC,0.34283903347932676
I132.102R6.53_HILIC_X_HILIC,0.7090470369383794
I138.0549R5.35_HILIC_X_HILIC,1.2525644969774865
I138.055R7.72_HILIC_X_HILIC,0.8341923614776119
I143.0816R7.97_HILIC_X_HILIC,0.9738939608561112
I144.1019R6.44_HILIC_X_HILIC,0.8647157954973227
I148.0605R12.12_HILIC_X_HILIC,0.6646772121144439
I148.0968R8.21_HILIC_X_HILIC,1.1031572298890806
I152.0567R8.12_HILIC_X_HILIC,0.7568118267740849
I160.0969R8.37_HILIC_X_HILIC,1.2686451156984264
I175.119R17.83_HILIC_X_HILIC,1.691114267115801
I179.0048R7.02_HILIC_X_HILIC,1.3264281980983101
I204.1232R7.22_HILIC_X_HILIC,0.8912812157157767
I252.1092R3.46_HILIC_X_HILIC,1.3477758621601725
I284.0991R8.89_HILIC_X_HILIC,0.8219819605538011
I346.0564R12.06_HILIC_X_HILIC,0.7138175949397103
I606.0756R12.98_HILIC_X_HILIC,0.9000406089507316
Inosine_X_HILIC,1.1152582632544283
Isethionic Acid_X_HILIC,1.098927210721735
L-Pyroglutamic acid_X_HILIC,0.8829921166683147
Lysine_X_HILIC,1.3120069595589063
Malic Acid_X_HILIC,0.7130033509242668
Methionine Sulfoxide_X_HILIC,0.23275700151397913
Methionine_X_HILIC,0.94288153625763
N-acetyltaurine_X_HILIC,1.0294363130461668
N(e)-Acetyl-Lysine_X_HILIC,1.0358667801316814
NAD_X_HILIC,0.5219240936000455
Ornithine_X_HILIC,0.5296523621830173
Propionyl-L-carnitine_X_HILIC,0.8718203907560927
Sarcosine_X_HILIC,0.17984276171527616
Serine_X_HILIC,0.9604861974794169
Sucrose_X_HILIC,0.6318444392176665
Sulfolactic Acid_X_HILIC,1.2538874084875204
Threonine_X_HILIC,0.3247405392867582
Thymidine_X_HILIC,0.9442516303488028
Trehalose_X_HILIC,0.7253186801264548
Tyrosine_X_HILIC,0.9936572693816611
Uracil_X_HILIC,1.028142284744157
Uridine_X_HILIC,0.9346597466783585
Vitamin B3_X_HILIC,0.996619358535201
Agmatine_X_RP,NA
Allopurinol_X_RP,NA
Glutathione Disulfide_X_RP,NA
I166.0864R1.12_CyanoAq_X_RP,0.632
I298.0971R2.1_CyanoAq_X_RP,1
I377.1459R4.24_CyanoAq_X_RP,0.89
Kynurenine_X_RP,0.564
Sulfurol_X_RP,0.985
Tryptophan_X_RP,0.826
Vitamin B5_X_RP,0.403
I132.102R9.3_HILIC_X_HILIC,1
